time,lAnkle/0,lAnkle/1,lAnkle/2,lEar/0,lEar/1,lEar/2,lElbow/0,lElbow/1,lElbow/2,lEye/0,lEye/1,lEye/2,lHip/0,lHip/1,lHip/2,lKnee/0,lKnee/1,lKnee/2,lShoulder/0,lShoulder/1,lShoulder/2,lWrist/0,lWrist/1,lWrist/2,neck/0,neck/1,neck/2,nose/0,nose/1,nose/2,rAnkle/0,rAnkle/1,rAnkle/2,rEar/0,rEar/1,rEar/2,rElbow/0,rElbow/1,rElbow/2,rEye/0,rEye/1,rEye/2,rHip/0,rHip/1,rHip/2,rKnee/0,rKnee/1,rKnee/2,rShoulder/0,rShoulder/1,rShoulder/2,rWrist/0,rWrist/1,rWrist/2
-1.572138,1.863500766,59.84820753,1.208656053,1.219658553,59.87240061,6.451742061,0.468326715,59.19700601,6.696040454,0.974924353,60.0647281,6.450616464,1.205806866,59.84964971,4.292050176,1.256246764,59.81336079,2.576456347,1.178429694,59.36073867,5.849831465,1.110273232,59.68958383,6.87207628,1.332408111,60.05818397,5.913854329,0.916354287,60.13967147,6.448273901,0.756796229,60.3555392,1.163879005,1.265275716,60.34125581,6.415765386,1.151494471,60.99304383,6.871600674,0.988229359,60.20147753,6.440123267,1.073732044,60.42361501,4.312241092,0.629145312,60.41705201,2.654102305,1.515890956,60.74578951,5.845325039,1.291152556,60.18623618,6.74804514
-1.568807,1.858229749,59.84478338,1.21496515,1.222935395,59.88101536,6.456024869,0.465593348,59.19632587,6.693789923,0.975155591,60.06940032,6.45453009,1.199136673,59.85168931,4.294838982,1.237131709,59.80976949,2.577743286,1.177839543,59.36537809,5.85092296,1.1063957,59.68832528,6.87600236,1.328911449,60.06252398,5.915307908,0.915379743,60.14337143,6.45177831,0.756113421,60.35818145,1.160968915,1.260796086,60.35010392,6.414516492,1.144891349,60.99819973,6.871804711,0.986198293,60.20621782,6.442423479,1.071550063,60.42675612,4.31237243,0.628604117,60.41594711,2.652462191,1.509813555,60.74988264,5.846375389,1.291966093,60.19101755,6.759063998
-1.565474,1.852296559,59.84104283,1.221606057,1.22524516,59.88900417,6.46002189,0.462610697,59.19527636,6.691552011,0.973944307,60.07265994,6.457925195,1.192313025,59.85372673,4.297802803,1.217572294,59.80608588,2.579311534,1.176805632,59.37009025,5.852006169,1.102238524,59.68662737,6.880015749,1.325000486,60.06690719,5.916928414,0.912767602,60.14545898,6.454737805,0.755215026,60.35998494,1.158207543,1.254019126,60.35827128,6.413536653,1.137255468,61.00302609,6.872115333,0.982336714,60.20952951,6.444367001,1.069974387,60.43001219,4.312497317,0.628148378,60.41444916,2.650971237,1.503386313,60.75399064,5.847694559,1.292569103,60.19575064,6.770901379
-1.562141,1.845682308,59.83709473,1.228453002,1.22642289,59.89617461,6.463630691,0.459204855,59.19419029,6.689296619,0.971316068,60.07449414,6.460695729,1.185428808,59.85573903,4.300873133,1.197664116,59.80243601,2.581095869,1.175231303,59.37484746,5.853046402,1.09768597,59.68478264,6.883988466,1.320804739,60.0712593,5.918664128,0.908615067,60.14596284,6.457054627,0.754094191,60.36094774,1.155609474,1.245198832,60.36550678,6.412884014,1.128919139,61.00744914,6.872436502,0.976792384,60.21138269,6.445894615,1.06919417,60.43335484,4.312581375,0.627788531,60.41263273,2.649644865,1.49697663,60.75797797,5.849216116,1.292850469,60.20035595,6.783200489
-1.558808,1.838397132,59.83306645,1.235386238,1.226376131,59.90235177,6.466762896,0.455199477,59.19342927,6.68699916,0.967365858,60.07493054,6.462737151,1.178575902,59.85769827,4.303981523,1.177500981,59.79896209,2.583027742,1.173036667,59.37962621,5.85401666,1.092625924,59.68310995,6.887797624,1.31648717,60.07550996,5.920459522,0.903089006,60.14495939,6.458626792,0.7527519,60.36113993,1.153189713,1.234679531,60.37160255,6.412585342,1.120279824,61.01141999,6.872657558,0.969787683,60.21179535,6.446935364,1.069408848,60.4367458,4.312590476,0.627533323,60.41060097,2.648500061,1.491002048,60.76171074,5.850861833,1.292714306,60.20473611,6.795591293
-1.555475,1.830486359,59.82910627,1.242290547,1.225083696,59.90737158,6.469334008,0.450417249,59.1933814,6.684641399,0.962252395,60.07403469,6.463942136,1.171848219,59.85957013,4.30705857,1.157188221,59.79582481,2.585034668,1.170157985,59.38440351,5.854895933,1.086952196,59.681952,6.891323477,1.312245702,60.07958811,5.922255052,0.896419038,60.14257148,6.459345878,0.751198733,60.36070708,1.150966055,1.222892588,60.37639295,6.412636579,1.111803921,61.01490899,6.872655455,0.961613322,60.21083259,6.447405386,1.070828716,60.44013291,4.312491268,0.627390927,60.40848833,2.647556531,1.48593329,60.76505078,5.852543413,1.292082476,60.20876642,6.807683805
-1.552142,1.822034436,59.82538321,1.249057661,1.222594138,59.91108044,6.471256589,0.444681302,59.19445938,6.6822105,0.956192353,60.07191037,6.464201021,1.165340083,59.86131343,4.310034433,1.136845012,59.79320311,2.587040285,1.166546243,59.389156,5.85566797,1.08056651,59.68167221,6.894448399,1.308312095,60.08341866,5.923987824,0.888890387,60.13896909,6.459099827,0.749457398,60.35987572,1.148959349,1.210349424,60.37975658,6.413005501,1.104026172,61.01790119,6.872297516,0.952620978,60.20860757,6.44721112,1.073673231,60.44344732,4.312251684,0.627370207,60.40646316,2.64683671,1.482292819,60.76784991,5.854165023,1.290897893,60.21229038,6.819066828
-1.548807,1.813164308,59.82208411,1.255592824,1.219019051,59.91333633,6.472435077,0.437813957,59.19710159,6.679696068,0.949449909,60.06869677,6.463403564,1.159140122,59.86288051,4.312840868,1.11659496,59.79129221,2.588965553,1.162162214,59.39386195,5.856320291,1.073378211,59.6826529,6.897055672,1.304948114,60.08691998,5.925593196,0.880831953,60.13436539,6.457777083,0.747565854,60.35895799,1.147192527,1.197625546,60.38161576,6.413637659,1.097544655,61.02039042,6.871443733,0.943210136,60.20527827,6.446254317,1.078171543,60.44660193,4.311841042,0.627482818,60.40472968,2.646365464,1.480651769,60.76994238,5.855626742,1.289125925,60.21511982,6.829311327
-1.545474,1.804064761,59.8194189,1.26180234,1.214534993,59.91400448,6.472759225,0.429659199,59.20176487,6.677094367,0.942346681,60.06457503,6.461445944,1.153342412,59.86421298,4.315404894,1.096617699,59.79030601,2.590724307,1.156984606,59.39848939,5.856841306,1.065328806,59.68529,6.899019225,1.302450043,60.0899895,5.927001629,0.87262936,60.12902576,6.455277718,0.745588758,60.35835876,1.145694555,1.185381673,60.3819276,6.414462677,1.093032549,61.02236318,6.869952074,0.933843629,60.20105261,6.444442784,1.084546751,60.44947987,4.311231424,0.627745859,60.40353522,2.646170906,1.48162812,60.77112835,5.856823693,1.286759917,60.21703081,6.837942858
-1.542143,1.79462446,59.81613814,1.269593475,1.210033062,59.91895255,6.474945595,0.422219669,59.20439945,6.674502192,0.935432703,60.06485481,6.461048444,1.14687749,59.86699218,4.319126211,1.076537549,59.7895034,2.591524667,1.151420989,59.40371284,5.859288576,1.058050979,59.68861143,6.903924731,1.299145135,60.09461823,5.929279267,0.864685027,60.1280953,6.454130651,0.743969315,60.35817191,1.144365703,1.173420659,60.3861221,6.414840779,1.084738676,61.02604357,6.86701962,0.924754085,60.20111259,6.443517873,1.085990615,60.45310141,4.311618965,0.626501928,60.40040711,2.643789774,1.48171982,60.77466808,5.859405341,1.283797339,60.21900093,6.846349793
